No,Age,Education,Industry,Experience ,Marital Status,Own House,Dependents,Income,Loan Affordability
23971,36,No schooling,Chemical ,18,MARRIED,YES,2,80225.4902,NO
23976,43,High School,Software ,24,DIVORCED,NO,1,75225.4902,NO
23979,36,Master,Manufacturing,15,DIVORCED,NO,3,83225.4902,YES
23993,47,Doctorate,Arts & Media,25,SINGLE,YES,2,83225.4902,YES
23997,41,Bachelor,Transport ,21,DIVORCED,NO,0,76225.4902,YES
24011,37,Bachelor,Food & Beverages,17,MARRIED,NO,2,82225.4902,YES
24012,29,Master,Chemical ,8,MARRIED,NO,0,96225.4902,NO
24025,46,Bachelor,Pulp and paper ,26,SINGLE,NO,3,75225.4902,YES
24035,26,Master,Food & Beverages,5,DIVORCED,YES,3,100225.4902,NO
24046,54,No schooling,Chemical ,36,DIVORCED,YES,1,67225.4902,YES
24051,30,High School,Software ,11,DIVORCED,YES,2,66225.4902,NO
24054,29,Master,Manufacturing,8,MARRIED,NO,1,70225.4902,NO
24068,54,Doctorate,Arts & Media,32,DIVORCED,NO,1,86225.4902,NO
24072,46,Bachelor,Transport ,26,DIVORCED,NO,3,93225.4902,YES
24086,31,Bachelor,Food & Beverages,11,DIVORCED,YES,2,73225.4902,NO
24087,31,Master,Chemical ,10,MARRIED,YES,1,85225.4902,YES
24100,46,Bachelor,Pulp and paper ,26,SINGLE,YES,3,67225.4902,NO
24110,38,Master,Food & Beverages,17,MARRIED,YES,3,88225.4902,YES
24121,48,No schooling,Chemical ,30,DIVORCED,YES,1,87225.4902,NO
24126,46,High School,Software ,27,MARRIED,NO,0,62225.4902,NO
24129,46,Master,Manufacturing,25,MARRIED,NO,1,87225.4902,YES
24143,52,Doctorate,Arts & Media,30,SINGLE,NO,0,89225.4902,YES
24147,35,Bachelor,Transport ,15,MARRIED,YES,1,85225.4902,YES
24161,27,Bachelor,Food & Beverages,7,MARRIED,YES,1,91225.4902,NO
24162,39,Master,Chemical ,18,SINGLE,YES,0,92225.4902,YES
24175,29,Bachelor,Pulp and paper ,9,MARRIED,NO,3,71225.4902,NO
24185,35,Master,Food & Beverages,14,MARRIED,NO,2,85225.4902,NO
24196,26,No schooling,Chemical ,8,DIVORCED,NO,2,80225.4902,NO
24201,49,High School,Software ,30,SINGLE,NO,3,67225.4902,NO
24204,47,Master,Manufacturing,26,DIVORCED,YES,1,92225.4902,YES
24218,34,Doctorate,Arts & Media,12,MARRIED,NO,2,67225.4902,NO
24222,47,Bachelor,Transport ,27,DIVORCED,NO,3,89225.4902,YES
24236,46,Bachelor,Food & Beverages,26,MARRIED,YES,1,87225.4902,NO
24237,51,Master,Chemical ,30,SINGLE,NO,0,67225.4902,NO
24250,37,Bachelor,Pulp and paper ,17,DIVORCED,NO,0,73225.4902,YES
24260,29,Master,Food & Beverages,8,DIVORCED,NO,0,74225.4902,NO
24271,32,No schooling,Chemical ,14,MARRIED,YES,1,64225.4902,NO
24276,43,High School,Software ,24,DIVORCED,YES,2,67225.4902,NO
24279,40,Master,Manufacturing,19,SINGLE,NO,1,86225.4902,NO
24293,45,Doctorate,Arts & Media,23,SINGLE,YES,0,92225.4902,YES
24297,26,Bachelor,Transport ,6,MARRIED,NO,3,72225.4902,YES
24311,55,Bachelor,Food & Beverages,35,SINGLE,YES,0,89225.4902,YES
24312,42,Master,Chemical ,21,DIVORCED,YES,3,90225.4902,YES
24325,48,Bachelor,Pulp and paper ,28,MARRIED,YES,0,80225.4902,NO
24335,26,Master,Food & Beverages,5,SINGLE,NO,1,64225.4902,YES
24346,31,No schooling,Chemical ,13,SINGLE,YES,3,82225.4902,YES
24351,55,High School,Software ,36,MARRIED,NO,0,86225.4902,NO
24354,39,Master,Manufacturing,18,MARRIED,YES,2,78225.4902,YES
24368,47,Doctorate,Arts & Media,25,SINGLE,YES,3,80225.4902,NO
24372,42,Bachelor,Transport ,22,DIVORCED,YES,2,87225.4902,NO
24386,31,Bachelor,Food & Beverages,11,DIVORCED,NO,3,79225.4902,NO
24387,33,Master,Chemical ,12,MARRIED,NO,3,87225.4902,NO
24400,43,Bachelor,Pulp and paper ,23,MARRIED,YES,2,77225.4902,YES
24410,55,Master,Food & Beverages,34,MARRIED,NO,0,94225.4902,NO
24421,44,No schooling,Chemical ,26,SINGLE,YES,3,70225.4902,NO
24426,35,High School,Software ,16,MARRIED,YES,0,61225.4902,NO
24429,32,Master,Manufacturing,11,DIVORCED,YES,2,73225.4902,YES
24443,33,Doctorate,Arts & Media,11,MARRIED,YES,0,78225.4902,YES
24447,40,Bachelor,Transport ,20,SINGLE,YES,1,93225.4902,NO
24461,27,Bachelor,Food & Beverages,7,DIVORCED,YES,0,90225.4902,NO
24462,28,Master,Chemical ,7,SINGLE,NO,0,85225.4902,NO
24475,45,Bachelor,Pulp and paper ,25,DIVORCED,NO,3,70225.4902,NO
24485,25,Master,Food & Beverages,4,MARRIED,NO,3,87225.4902,NO
24496,54,No schooling,Chemical ,36,SINGLE,YES,2,85225.4902,YES
24501,53,High School,Software ,34,DIVORCED,NO,1,81225.4902,YES
24504,44,Master,Manufacturing,23,SINGLE,NO,3,72225.4902,NO
24518,45,Doctorate,Arts & Media,23,MARRIED,NO,2,90225.4902,NO
24522,53,Bachelor,Transport ,33,DIVORCED,YES,2,68225.4902,YES
24536,29,Bachelor,Food & Beverages,9,SINGLE,YES,0,77225.4902,NO
24537,35,Master,Chemical ,14,SINGLE,NO,1,84225.4902,YES
24550,33,Bachelor,Pulp and paper ,13,DIVORCED,NO,0,88225.4902,NO
24560,35,Master,Food & Beverages,14,MARRIED,YES,0,71225.4902,NO
24571,29,No schooling,Chemical ,11,DIVORCED,NO,0,67225.4902,YES
24576,44,High School,Software ,25,MARRIED,YES,0,68225.4902,NO
24579,35,Master,Manufacturing,14,MARRIED,YES,1,75225.4902,NO
24593,25,Doctorate,Arts & Media,3,SINGLE,NO,1,75225.4902,NO
24597,30,Bachelor,Transport ,10,SINGLE,NO,3,71225.4902,NO
24611,27,Bachelor,Food & Beverages,7,DIVORCED,YES,1,82225.4902,NO
24612,33,Master,Chemical ,12,DIVORCED,NO,1,80225.4902,NO
24625,55,Bachelor,Pulp and paper ,35,SINGLE,YES,2,81225.4902,NO
24635,35,Master,Food & Beverages,14,DIVORCED,YES,0,92225.4902,YES
24646,42,No schooling,Chemical ,24,SINGLE,YES,2,78225.4902,YES
24651,37,High School,Software ,18,SINGLE,NO,3,72225.4902,NO
24654,41,Master,Manufacturing,20,MARRIED,YES,1,82225.4902,YES
24668,49,Doctorate,Arts & Media,27,SINGLE,NO,1,97225.4902,YES
24672,27,Bachelor,Transport ,7,DIVORCED,NO,1,77225.4902,YES
24686,47,Bachelor,Food & Beverages,27,SINGLE,NO,1,74225.4902,NO
24687,52,Master,Chemical ,31,DIVORCED,YES,1,90225.4902,NO
24700,55,Bachelor,Pulp and paper ,35,MARRIED,NO,1,71225.4902,YES
24710,38,Master,Food & Beverages,17,MARRIED,YES,2,88225.4902,YES
24721,29,No schooling,Chemical ,11,DIVORCED,NO,1,68225.4902,NO
24726,54,High School,Software ,35,SINGLE,YES,2,83225.4902,NO
24729,40,Master,Manufacturing,19,MARRIED,YES,2,92225.4902,NO
24743,51,Doctorate,Arts & Media,29,MARRIED,NO,0,91225.4902,NO
24747,44,Bachelor,Transport ,24,SINGLE,YES,0,80225.4902,NO
24761,39,Bachelor,Food & Beverages,19,SINGLE,YES,3,85225.4902,NO
24762,49,Master,Chemical ,28,DIVORCED,NO,0,98225.4902,YES
24775,26,Bachelor,Pulp and paper ,6,DIVORCED,NO,2,90225.4902,NO
24785,38,Master,Food & Beverages,17,MARRIED,NO,2,87225.4902,YES
24796,31,No schooling,Chemical ,13,SINGLE,NO,1,76225.4902,NO
24801,48,High School,Software ,29,MARRIED,NO,2,67225.4902,NO
24804,25,Master,Manufacturing,4,MARRIED,YES,2,84225.4902,NO
24818,36,Doctorate,Arts & Media,14,SINGLE,YES,0,76225.4902,YES
24822,50,Bachelor,Transport ,30,MARRIED,YES,0,85225.4902,YES
24836,52,Bachelor,Food & Beverages,32,DIVORCED,NO,1,88225.4902,NO
24837,39,Master,Chemical ,18,DIVORCED,YES,2,86225.4902,NO
24850,42,Bachelor,Pulp and paper ,22,DIVORCED,YES,1,90225.4902,NO
24860,29,Master,Food & Beverages,8,DIVORCED,NO,0,83225.4902,YES
24871,26,No schooling,Chemical ,8,MARRIED,YES,3,84225.4902,NO
24876,39,High School,Software ,20,SINGLE,NO,2,64225.4902,YES
24879,37,Master,Manufacturing,16,DIVORCED,NO,3,99225.4902,YES
24893,30,Doctorate,Arts & Media,8,DIVORCED,NO,1,86225.4902,YES
24897,34,Bachelor,Transport ,14,SINGLE,NO,1,73225.4902,NO
24911,54,Bachelor,Food & Beverages,34,SINGLE,NO,1,73225.4902,NO
24912,31,Master,Chemical ,10,SINGLE,YES,1,93225.4902,NO
24925,48,Bachelor,Pulp and paper ,28,MARRIED,YES,2,71225.4902,YES
24935,33,Master,Food & Beverages,12,MARRIED,YES,2,75225.4902,YES
24946,49,No schooling,Chemical ,31,SINGLE,YES,1,77225.4902,YES
24951,51,High School,Software ,32,SINGLE,YES,3,87225.4902,YES
24954,35,Master,Manufacturing,14,DIVORCED,NO,3,90225.4902,NO
24968,53,Doctorate,Arts & Media,31,DIVORCED,YES,2,87225.4902,NO
24972,29,Bachelor,Transport ,9,DIVORCED,YES,0,79225.4902,NO
24986,54,Bachelor,Food & Beverages,34,SINGLE,YES,2,71225.4902,NO
24987,30,Master,Chemical ,9,DIVORCED,NO,1,67225.4902,NO
25000,26,Bachelor,Pulp and paper ,6,DIVORCED,YES,1,89225.4902,YES
25010,42,Master,Food & Beverages,21,DIVORCED,YES,3,68225.4902,YES
25021,37,No schooling,Chemical ,19,DIVORCED,NO,3,86225.4902,NO
25026,34,High School,Software ,15,SINGLE,NO,1,66225.4902,NO
25029,43,Master,Manufacturing,22,SINGLE,YES,3,84225.4902,NO
25043,34,Doctorate,Arts & Media,12,SINGLE,NO,1,87225.4902,NO
25047,55,Bachelor,Transport ,35,DIVORCED,YES,1,71225.4902,YES
25061,47,Bachelor,Food & Beverages,27,DIVORCED,YES,3,75225.4902,NO
25062,32,Master,Chemical ,11,DIVORCED,YES,3,73225.4902,YES
25075,41,Bachelor,Pulp and paper ,21,SINGLE,YES,1,80225.4902,YES
25085,48,Master,Food & Beverages,27,DIVORCED,YES,0,90225.4902,NO
25096,32,No schooling,Chemical ,14,MARRIED,YES,1,94225.4902,NO
25101,54,High School,Software ,35,MARRIED,YES,3,84225.4902,YES
25104,28,Master,Manufacturing,7,SINGLE,NO,3,83225.4902,NO
25118,29,Doctorate,Arts & Media,7,SINGLE,NO,2,96225.4902,YES
25122,31,Bachelor,Transport ,11,SINGLE,YES,3,74225.4902,NO
25136,32,Bachelor,Food & Beverages,12,DIVORCED,NO,3,80225.4902,YES
25137,36,Master,Chemical ,15,SINGLE,NO,3,77225.4902,NO
25150,27,Bachelor,Pulp and paper ,7,MARRIED,NO,2,96225.4902,YES
25160,48,Master,Food & Beverages,27,SINGLE,YES,3,100225.4902,YES
25171,30,No schooling,Chemical ,12,DIVORCED,YES,3,78225.4902,NO
25176,49,High School,Software ,30,MARRIED,NO,1,65225.4902,YES
25179,46,Master,Manufacturing,25,DIVORCED,NO,1,90225.4902,NO
25193,26,Doctorate,Arts & Media,4,MARRIED,NO,2,85225.4902,NO
25197,40,Bachelor,Transport ,20,DIVORCED,NO,1,79225.4902,YES
25211,36,Bachelor,Food & Beverages,16,MARRIED,NO,2,78225.4902,YES
25212,50,Master,Chemical ,29,MARRIED,YES,0,72225.4902,YES
25225,50,Bachelor,Pulp and paper ,30,SINGLE,YES,2,85225.4902,YES
25235,51,Master,Food & Beverages,30,DIVORCED,YES,3,97225.4902,NO
25246,47,No schooling,Chemical ,29,DIVORCED,YES,0,64225.4902,YES
25251,30,High School,Software ,11,DIVORCED,YES,0,83225.4902,NO
25254,30,Master,Manufacturing,9,SINGLE,YES,1,69225.4902,NO
25268,55,Doctorate,Arts & Media,33,SINGLE,YES,1,101225.4902,NO
25272,34,Bachelor,Transport ,14,MARRIED,NO,1,75225.4902,NO
25286,54,Bachelor,Food & Beverages,34,DIVORCED,NO,1,74225.4902,NO
25287,52,Master,Chemical ,31,DIVORCED,YES,3,91225.4902,NO
25300,55,Bachelor,Pulp and paper ,35,MARRIED,NO,2,82225.4902,NO
25310,28,Master,Food & Beverages,7,SINGLE,YES,3,65225.4902,NO
25321,44,No schooling,Chemical ,26,DIVORCED,NO,3,83225.4902,NO
25326,51,High School,Software ,32,MARRIED,NO,2,92225.4902,NO
25329,25,Master,Manufacturing,4,SINGLE,YES,1,78225.4902,NO
25343,48,Doctorate,Arts & Media,26,DIVORCED,YES,3,88225.4902,NO
25347,26,Bachelor,Transport ,6,DIVORCED,YES,2,70225.4902,NO
25361,53,Bachelor,Food & Beverages,33,DIVORCED,NO,3,89225.4902,YES
25362,44,Master,Chemical ,23,MARRIED,YES,2,99225.4902,NO
25375,49,Bachelor,Pulp and paper ,29,DIVORCED,YES,3,77225.4902,NO
25385,38,Master,Food & Beverages,17,MARRIED,NO,0,92225.4902,YES
25396,27,No schooling,Chemical ,9,SINGLE,NO,3,76225.4902,YES
25401,27,High School,Software ,8,SINGLE,YES,1,77225.4902,NO
25404,42,Master,Manufacturing,21,MARRIED,NO,3,89225.4902,YES
25418,28,Doctorate,Arts & Media,6,DIVORCED,NO,2,77225.4902,YES
25422,29,Bachelor,Transport ,9,DIVORCED,YES,2,83225.4902,YES
25436,55,Bachelor,Food & Beverages,35,DIVORCED,NO,0,74225.4902,NO
25437,38,Master,Chemical ,17,MARRIED,NO,3,80225.4902,NO
25450,39,Bachelor,Pulp and paper ,19,SINGLE,NO,3,81225.4902,YES
25460,29,Master,Food & Beverages,8,DIVORCED,NO,1,82225.4902,YES
25471,37,No schooling,Chemical ,19,DIVORCED,YES,0,68225.4902,NO
25476,55,High School,Software ,36,SINGLE,NO,1,69225.4902,NO
25479,46,Master,Manufacturing,25,SINGLE,NO,1,80225.4902,NO
25493,46,Doctorate,Arts & Media,24,MARRIED,NO,1,91225.4902,YES
25497,52,Bachelor,Transport ,32,DIVORCED,NO,1,79225.4902,YES
25511,55,Bachelor,Food & Beverages,35,SINGLE,NO,1,91225.4902,YES
25512,41,Master,Chemical ,20,DIVORCED,YES,0,75225.4902,YES
25525,31,Bachelor,Pulp and paper ,11,MARRIED,YES,3,86225.4902,YES
25535,34,Master,Food & Beverages,13,MARRIED,NO,3,90225.4902,YES
25546,47,No schooling,Chemical ,29,SINGLE,NO,1,81225.4902,NO
25551,42,High School,Software ,23,MARRIED,YES,3,65225.4902,NO
25554,42,Master,Manufacturing,21,DIVORCED,YES,1,82225.4902,YES
25568,49,Doctorate,Arts & Media,27,SINGLE,YES,1,85225.4902,YES
25572,53,Bachelor,Transport ,33,MARRIED,YES,0,71225.4902,YES
25586,29,Bachelor,Food & Beverages,9,SINGLE,NO,0,90225.4902,YES
25587,35,Master,Chemical ,14,MARRIED,YES,3,81225.4902,NO
25600,34,Bachelor,Pulp and paper ,14,DIVORCED,NO,1,86225.4902,YES
25610,52,Master,Food & Beverages,31,DIVORCED,YES,3,69225.4902,YES
25621,54,No schooling,Chemical ,36,SINGLE,NO,3,68225.4902,NO
25626,50,High School,Software ,31,MARRIED,YES,1,74225.4902,NO
25629,35,Master,Manufacturing,14,DIVORCED,NO,3,92225.4902,YES
25643,46,Doctorate,Arts & Media,24,MARRIED,YES,1,101225.4902,NO
25647,53,Bachelor,Transport ,33,DIVORCED,YES,0,75225.4902,YES
25661,35,Bachelor,Food & Beverages,15,MARRIED,NO,3,63225.4902,NO
25662,45,Master,Chemical ,24,MARRIED,NO,0,79225.4902,NO
25675,47,Bachelor,Pulp and paper ,27,MARRIED,NO,0,94225.4902,YES
25685,25,Master,Food & Beverages,4,MARRIED,YES,1,84225.4902,NO
25696,44,No schooling,Chemical ,26,MARRIED,NO,0,94225.4902,YES
25701,38,High School,Software ,19,MARRIED,NO,1,67225.4902,YES
25704,29,Master,Manufacturing,8,SINGLE,YES,2,94225.4902,YES
25718,34,Doctorate,Arts & Media,12,MARRIED,NO,2,74225.4902,YES
25722,38,Bachelor,Transport ,18,DIVORCED,YES,1,71225.4902,NO
25736,34,Bachelor,Food & Beverages,14,DIVORCED,NO,0,77225.4902,YES
25737,45,Master,Chemical ,24,DIVORCED,YES,1,79225.4902,YES
25750,51,Bachelor,Pulp and paper ,31,DIVORCED,NO,0,71225.4902,NO
25760,33,Master,Food & Beverages,12,SINGLE,NO,2,72225.4902,NO
25771,25,No schooling,Chemical ,7,SINGLE,YES,0,62225.4902,NO
25776,50,High School,Software ,31,DIVORCED,NO,0,74225.4902,NO
25779,47,Master,Manufacturing,26,DIVORCED,NO,1,71225.4902,NO
25793,30,Doctorate,Arts & Media,8,MARRIED,NO,0,74225.4902,YES
25797,48,Bachelor,Transport ,28,MARRIED,NO,0,80225.4902,YES
25811,35,Bachelor,Food & Beverages,15,MARRIED,NO,1,91225.4902,NO
25812,46,Master,Chemical ,25,MARRIED,YES,1,95225.4902,YES
25825,45,Bachelor,Pulp and paper ,25,MARRIED,YES,2,90225.4902,YES
25835,26,Master,Food & Beverages,5,SINGLE,NO,0,81225.4902,NO
25846,35,No schooling,Chemical ,17,SINGLE,YES,3,69225.4902,NO
25851,25,High School,Software ,6,MARRIED,NO,2,79225.4902,NO
25854,35,Master,Manufacturing,14,DIVORCED,YES,0,77225.4902,NO
25868,32,Doctorate,Arts & Media,10,MARRIED,NO,1,97225.4902,NO
25872,49,Bachelor,Transport ,29,DIVORCED,NO,2,74225.4902,NO
25886,42,Bachelor,Food & Beverages,22,SINGLE,YES,1,69225.4902,NO
25887,52,Master,Chemical ,31,MARRIED,NO,3,97225.4902,YES
25900,48,Bachelor,Pulp and paper ,28,SINGLE,NO,0,94225.4902,NO
25910,51,Master,Food & Beverages,30,MARRIED,NO,2,75225.4902,YES
25921,31,No schooling,Chemical ,13,SINGLE,YES,3,79225.4902,YES
25926,34,High School,Software ,15,SINGLE,YES,1,81225.4902,YES
25929,43,Master,Manufacturing,22,MARRIED,YES,1,82225.4902,NO
25943,55,Doctorate,Arts & Media,33,DIVORCED,YES,2,93225.4902,NO
25947,41,Bachelor,Transport ,21,DIVORCED,YES,3,79225.4902,YES
25961,49,Bachelor,Food & Beverages,29,DIVORCED,YES,2,97225.4902,YES
25962,41,Master,Chemical ,20,SINGLE,NO,2,81225.4902,NO
25975,26,Bachelor,Pulp and paper ,6,MARRIED,NO,3,91225.4902,YES
25985,55,Master,Food & Beverages,34,DIVORCED,YES,0,81225.4902,NO
25996,42,No schooling,Chemical ,24,DIVORCED,NO,3,70225.4902,YES
26001,30,High School,Software ,11,DIVORCED,NO,0,65225.4902,NO
26004,48,Master,Manufacturing,27,SINGLE,NO,0,69225.4902,NO
26018,28,Doctorate,Arts & Media,6,DIVORCED,NO,0,91225.4902,NO
26022,52,Bachelor,Transport ,32,DIVORCED,NO,3,93225.4902,NO
26036,51,Bachelor,Food & Beverages,31,MARRIED,NO,0,64225.4902,NO
26037,31,Master,Chemical ,10,SINGLE,YES,1,92225.4902,NO
26050,54,Bachelor,Pulp and paper ,34,MARRIED,YES,1,96225.4902,NO
26060,39,Master,Food & Beverages,18,DIVORCED,NO,2,85225.4902,NO
26071,43,No schooling,Chemical ,25,SINGLE,NO,0,74225.4902,YES
26076,34,High School,Software ,15,SINGLE,YES,1,71225.4902,NO
26079,46,Master,Manufacturing,25,SINGLE,NO,0,73225.4902,YES
26093,49,Doctorate,Arts & Media,27,SINGLE,NO,1,102225.4902,NO
26097,50,Bachelor,Transport ,30,MARRIED,YES,3,71225.4902,NO
26111,46,Bachelor,Food & Beverages,26,MARRIED,YES,1,75225.4902,YES
26112,27,Master,Chemical ,6,SINGLE,NO,1,75225.4902,NO
26125,47,Bachelor,Pulp and paper ,27,MARRIED,YES,0,80225.4902,NO
26135,29,Master,Food & Beverages,8,DIVORCED,NO,1,84225.4902,YES
26146,40,No schooling,Chemical ,22,MARRIED,NO,2,91225.4902,NO
26151,44,High School,Software ,25,SINGLE,YES,3,81225.4902,YES
26154,43,Master,Manufacturing,22,MARRIED,NO,0,71225.4902,NO
26168,34,Doctorate,Arts & Media,12,MARRIED,NO,0,94225.4902,NO
26172,52,Bachelor,Transport ,32,SINGLE,YES,2,91225.4902,NO
26186,31,Bachelor,Food & Beverages,11,MARRIED,NO,2,96225.4902,NO
26187,37,Master,Chemical ,16,MARRIED,NO,0,79225.4902,NO
26200,53,Bachelor,Pulp and paper ,33,DIVORCED,NO,2,71225.4902,NO
26210,47,Master,Food & Beverages,26,DIVORCED,NO,3,83225.4902,NO
26221,45,No schooling,Chemical ,27,DIVORCED,NO,3,76225.4902,NO
26226,55,High School,Software ,36,DIVORCED,NO,1,91225.4902,NO
26229,36,Master,Manufacturing,15,DIVORCED,YES,0,90225.4902,YES
26243,49,Doctorate,Arts & Media,27,MARRIED,YES,1,72225.4902,NO
26247,31,Bachelor,Transport ,11,MARRIED,YES,3,90225.4902,NO
26261,53,Bachelor,Food & Beverages,33,DIVORCED,NO,2,69225.4902,YES
26262,43,Master,Chemical ,22,DIVORCED,NO,1,84225.4902,NO
26275,48,Bachelor,Pulp and paper ,28,SINGLE,NO,3,84225.4902,NO
26285,54,Master,Food & Beverages,33,SINGLE,NO,2,82225.4902,NO
26296,54,No schooling,Chemical ,36,MARRIED,YES,3,85225.4902,YES
26301,32,High School,Software ,13,SINGLE,NO,3,88225.4902,NO
26304,31,Master,Manufacturing,10,DIVORCED,NO,0,78225.4902,YES
26318,40,Doctorate,Arts & Media,18,SINGLE,YES,0,79225.4902,NO
26322,45,Bachelor,Transport ,25,SINGLE,NO,3,93225.4902,YES
26336,32,Bachelor,Food & Beverages,12,DIVORCED,YES,2,78225.4902,NO
26337,52,Master,Chemical ,31,SINGLE,NO,0,69225.4902,NO
26350,49,Bachelor,Pulp and paper ,29,SINGLE,YES,2,66225.4902,NO
26360,41,Master,Food & Beverages,20,DIVORCED,NO,2,75225.4902,YES
26371,45,No schooling,Chemical ,27,DIVORCED,YES,1,69225.4902,YES
26376,26,High School,Software ,7,DIVORCED,NO,2,84225.4902,NO
26379,55,Master,Manufacturing,34,DIVORCED,YES,3,95225.4902,NO
26393,32,Doctorate,Arts & Media,10,DIVORCED,NO,2,91225.4902,NO
26397,28,Bachelor,Transport ,8,MARRIED,NO,1,64225.4902,NO
26411,50,Bachelor,Food & Beverages,30,SINGLE,YES,0,80225.4902,NO
26412,34,Master,Chemical ,13,SINGLE,YES,3,81225.4902,NO
26425,54,Bachelor,Pulp and paper ,34,DIVORCED,NO,0,80225.4902,NO
26435,36,Master,Food & Beverages,15,DIVORCED,YES,0,75225.4902,NO
26446,32,No schooling,Chemical ,14,DIVORCED,YES,0,70225.4902,YES
26451,30,High School,Software ,11,SINGLE,YES,2,85225.4902,YES
26454,38,Master,Manufacturing,17,SINGLE,YES,1,83225.4902,NO
26468,29,Doctorate,Arts & Media,7,SINGLE,NO,3,90225.4902,NO
26472,31,Bachelor,Transport ,11,DIVORCED,YES,0,83225.4902,YES
26486,35,Bachelor,Food & Beverages,15,SINGLE,YES,3,70225.4902,NO
26487,45,Master,Chemical ,24,SINGLE,YES,2,85225.4902,YES
26500,54,Bachelor,Pulp and paper ,34,DIVORCED,NO,0,81225.4902,NO
26510,46,Master,Food & Beverages,25,MARRIED,YES,3,81225.4902,NO
26521,39,No schooling,Chemical ,21,DIVORCED,NO,1,67225.4902,NO
26526,32,High School,Software ,13,DIVORCED,YES,2,81225.4902,YES
26529,53,Master,Manufacturing,32,MARRIED,NO,0,80225.4902,NO
26543,48,Doctorate,Arts & Media,26,DIVORCED,YES,1,94225.4902,YES
26547,43,Bachelor,Transport ,23,MARRIED,NO,2,61225.4902,NO
26561,40,Bachelor,Food & Beverages,20,MARRIED,NO,2,72225.4902,NO
26562,35,Master,Chemical ,14,MARRIED,NO,3,70225.4902,NO
26575,42,Bachelor,Pulp and paper ,22,SINGLE,NO,0,97225.4902,NO
26585,43,Master,Food & Beverages,22,SINGLE,YES,2,79225.4902,YES
26596,26,No schooling,Chemical ,8,SINGLE,YES,3,76225.4902,NO
26601,30,High School,Software ,11,DIVORCED,NO,3,91225.4902,NO
26604,30,Master,Manufacturing,9,MARRIED,YES,0,77225.4902,NO
26618,47,Doctorate,Arts & Media,25,SINGLE,YES,2,86225.4902,YES
26622,55,Bachelor,Transport ,35,MARRIED,YES,0,65225.4902,NO
26636,55,Bachelor,Food & Beverages,35,MARRIED,NO,0,75225.4902,YES
26637,49,Master,Chemical ,28,SINGLE,YES,3,99225.4902,NO
26650,35,Bachelor,Pulp and paper ,15,SINGLE,YES,2,77225.4902,YES
26660,47,Master,Food & Beverages,26,SINGLE,NO,2,101225.4902,YES
26671,35,No schooling,Chemical ,17,SINGLE,NO,1,64225.4902,NO
26676,29,High School,Software ,10,MARRIED,YES,0,82225.4902,NO
26679,53,Master,Manufacturing,32,SINGLE,NO,3,92225.4902,YES
26693,33,Doctorate,Arts & Media,11,MARRIED,NO,2,90225.4902,NO
26697,55,Bachelor,Transport ,35,MARRIED,NO,1,77225.4902,NO
26711,28,Bachelor,Food & Beverages,8,DIVORCED,YES,2,80225.4902,YES
26712,47,Master,Chemical ,26,MARRIED,NO,3,93225.4902,NO
26725,54,Bachelor,Pulp and paper ,34,DIVORCED,NO,1,80225.4902,NO
26735,34,Master,Food & Beverages,13,MARRIED,NO,1,83225.4902,NO
26746,48,No schooling,Chemical ,30,DIVORCED,YES,1,70225.4902,YES
26751,43,High School,Software ,24,SINGLE,YES,0,61225.4902,NO
26754,26,Master,Manufacturing,5,SINGLE,YES,1,99225.4902,YES
26768,26,Doctorate,Arts & Media,4,MARRIED,YES,3,90225.4902,NO
26772,53,Bachelor,Transport ,33,MARRIED,YES,3,72225.4902,NO
26786,46,Bachelor,Food & Beverages,26,DIVORCED,NO,1,90225.4902,YES
26787,54,Master,Chemical ,33,DIVORCED,NO,1,101225.4902,YES
26800,25,Bachelor,Pulp and paper ,5,MARRIED,YES,2,83225.4902,NO
26810,46,Master,Food & Beverages,25,DIVORCED,NO,1,73225.4902,NO
26821,38,No schooling,Chemical ,20,MARRIED,YES,2,74225.4902,NO
26826,48,High School,Software ,29,MARRIED,NO,0,78225.4902,NO
26829,37,Master,Manufacturing,16,SINGLE,YES,3,85225.4902,YES
26843,31,Doctorate,Arts & Media,9,SINGLE,NO,1,71225.4902,NO
26847,31,Bachelor,Transport ,11,SINGLE,YES,3,72225.4902,NO
26861,38,Bachelor,Food & Beverages,18,SINGLE,NO,0,81225.4902,YES
26862,51,Master,Chemical ,30,DIVORCED,NO,0,79225.4902,NO
26875,42,Bachelor,Pulp and paper ,22,MARRIED,NO,3,70225.4902,YES
26885,38,Master,Food & Beverages,17,SINGLE,NO,0,68225.4902,NO
26896,34,No schooling,Chemical ,16,SINGLE,YES,3,80225.4902,NO
26901,26,High School,Software ,7,MARRIED,NO,3,66225.4902,YES
26904,30,Master,Manufacturing,9,MARRIED,YES,2,81225.4902,NO
26918,27,Doctorate,Arts & Media,5,MARRIED,YES,3,88225.4902,NO
26922,48,Bachelor,Transport ,28,SINGLE,NO,2,67225.4902,NO
26936,46,Bachelor,Food & Beverages,26,SINGLE,YES,3,93225.4902,YES
26937,34,Master,Chemical ,13,DIVORCED,NO,0,96225.4902,NO
26950,32,Bachelor,Pulp and paper ,12,MARRIED,NO,2,76225.4902,YES
26960,52,Master,Food & Beverages,31,SINGLE,NO,3,86225.4902,NO
26971,54,No schooling,Chemical ,36,MARRIED,YES,2,59225.4902,YES
